team_name,country
CA River Plate,Argentina
CA Boca Juniors,Argentina
CA San Lorenzo de Almagro,Argentina
CA Talleres,Argentina
Racing Club,Argentina
CA Velez Sarsfield,Argentina
Club Estudiantes de La Plata,Argentina
AA Argentinos Juniors,Argentina
Defensa Y Justicia,Argentina
CA Newells Old Boys,Argentina
Club Atletico Tigre,Argentina
CA Huracan,Argentina
CA Colon,Argentina
Club Atletico Tucuman,Argentina
CA Banfield,Argentina
CA Independiente,Argentina
Club de Gimnasia y Esgrima de La Plata,Argentina
Club Atletico Belgrano,Argentina
CA Rosario Central,Argentina
Club Atletico Union,Argentina
CD Godoy Cruz Antonio Tomba,Argentina
Instituto AC Cordoba,Argentina
CA Barracas Central,Argentina
CA Central Cordoba (SdE),Argentina
Club Atletico Platense,Argentina
CA Sarmiento (Junin),Argentina
Arsenal Futbol Club,Argentina